id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21367247,Female Dorm,154573233,João Pedro,Lisboa,Avenidas Novas,38.73581923132127,-9.156939811665,Shared room,21,1,1,2018-07-21,1,5,175
21367416,Red Room,154573233,João Pedro,Lisboa,Avenidas Novas,38.735893066358024,-9.156065853734555,Private room,23,1,0,,,5,127
21367617,Slick Modern Flat behind Time Out Market,46640843,Eduardo,Lisboa,Misericrdia,38.70841951127096,-9.144609559444415,Entire home/apt,110,2,5,2018-05-02,0.63,1,303
21368051,Ministry of Leisure - Local Housing Solutions,154726599,Gaspar,Lisboa,Arroios,38.724288090805594,-9.133725714892071,Entire home/apt,70,1,22,2018-07-28,2.86,1,316
21368158,Entre Campos: Rio Tejo - Blue Double Bedroom,63744544,Graça,Lisboa,Alvalade,38.74543038900495,-9.14716124808514,Private room,40,2,6,2018-07-14,1.09,5,333
21374155,Luxury accommodation for the Web Summit,154789105,Catarina,Lisboa,Parque das Naes,38.77591058485613,-9.09518572364955,Entire home/apt,500,1,0,,,1,0
21374846,Le Flat | Bairro Alto Studio,8026998,Inês,Lisboa,Misericrdia,38.71334533559784,-9.143424396498766,Entire home/apt,65,1,4,2018-05-29,0.57,13,315
21375390,Old apartment center of Lisbon. M,86890381,Emil,Lisboa,Santa Maria Maior,38.71570124460788,-9.133979252075088,Private room,27,2,19,2018-07-23,3.56,5,23
21376332,Small and cozy studio in Graça,116225392,Íris,Lisboa,So Vicente,38.719229727545795,-9.123298707086738,Entire home/apt,65,3,31,2018-06-20,3.33,14,30
21377697,❤ STUDIO 1 ❤ 6 min from subway & shopping district,3119255,Nicholas,Lisboa,Alvalade,38.747203128840106,-9.134632921273136,Entire home/apt,80,2,36,2018-07-22,4.48,2,59
21378381,Pro Touristic Montejunto Villa I,154829185,Ricardo,Cadaval,Lamas e Cercal,39.18100464894365,-9.056485408769195,Entire home/apt,75,2,0,,,5,362
21379341,Sol ao Rio - Beautiful flat w/patio near Belém,35278537,Natacha,Lisboa,Alcntara,38.69901212144888,-9.19100239732508,Entire home/apt,70,1,40,2018-06-29,4.21,5,173
21380627,Confort in Cascais,55005115,Patricia,Cascais,Cascais e Estoril,38.69894494056734,-9.440318709880284,Private room,20,1,3,2017-11-14,0.33,2,1
21381603,"Quiet apartment in Expo area, cozy and covenient",19308431,Daisy,Lisboa,Parque das Naes,38.78110505704837,-9.096224344961946,Entire home/apt,65,3,0,,,1,0
21381831,"T1 Parque das Nações, Lisboa",64340850,André,Lisboa,Parque das Naes,38.79104222697066,-9.099983377645634,Entire home/apt,33,60,0,,,1,295
21388662,City Center Woden Top With Terrace,151917202,Jorge,Lisboa,Misericrdia,38.714333578963725,-9.144211477950254,Entire home/apt,47,3,43,2018-07-27,4.85,4,178
21388738,"Lisbon Heart, Loft in Mouraria/Alfama",86832827,Susana,Lisboa,Arroios,38.71639302813447,-9.138727338794286,Entire home/apt,39,2,25,2018-07-26,2.70,1,65
21388802,"Spinel Silver Apartment, Marques de Pombal, Lisbon",22192546,Carolina,Lisboa,Santo Antnio,38.72725123906534,-9.144610596173871,Entire home/apt,85,2,18,2018-07-21,1.97,74,336
21388804,Bright Apart in Lisbon Historic Centre - Alfama28,51535314,Paulo,Lisboa,Santa Maria Maior,38.710671735345045,-9.129549731993068,Entire home/apt,55,2,8,2018-07-20,1.98,4,242
21389002,Double Room with Magnificent Sea Views,3233768,Alex,Cascais,Cascais e Estoril,38.700089654712144,-9.379200635162011,Private room,30,1,7,2018-06-24,0.78,3,46
21389164,Lovely Double Room 10 minutes walk to the beach,3233768,Alex,Cascais,Cascais e Estoril,38.699962278691665,-9.380419095871341,Private room,30,3,1,2017-12-18,0.13,3,85
21389368,Cosy Room with Spectacular Sea Views,3233768,Alex,Cascais,Cascais e Estoril,38.69985087099814,-9.379106494820928,Private room,30,7,1,2017-12-23,0.14,3,24
21389698,Sunny Private Bedroom w/ Private Bathroom-CASCAIS,57087419,Margarida,Cascais,Cascais e Estoril,38.69990167673858,-9.43702388765463,Private room,40,2,0,,,3,270
21390446,Private Bedroom w/ 2 Single Beds w/ Private Bath,57087419,Margarida,Cascais,Cascais e Estoril,38.700820069322965,-9.438519158047882,Private room,35,2,0,,,3,270
21392343,3 bedrooms in telheiras,66100123,Vita,Lisboa,Lumiar,38.7630000887653,-9.173582002955685,Entire home/apt,99,2,13,2018-07-22,1.81,6,324
