id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18369154,HOPOCHI,2681445,Ana,Sintra,Colares,38.81261675100485,-9.47632734605442,Entire home/apt,200,5,10,2018-08-28,0.70,3,155
18369385,"Apartamento 3 quartos perto zona histórica, Lisboa",103592919,Miguel Faria,Lisboa,Arroios,38.72174349081936,-9.132803899105618,Entire home/apt,95,3,1,2017-08-21,0.08,1,7
18369640,The Marquis Apartment,68036802,Sofia,Lisboa,Santo Antnio,38.72639575947539,-9.14737320863817,Entire home/apt,63,3,25,2018-09-13,1.57,4,316
18370578,Great River View in Lisbon,25367927,Maria & Marius,Lisboa,So Vicente,38.71907540286583,-9.124856812311307,Entire home/apt,90,3,49,2018-09-12,2.92,1,218
18372399,The Tatami Room,8183223,Mo&TA Ca.Sa,Lisboa,Santa Maria Maior,38.709764694094034,-9.131247103624737,Private room,80,2,0,,,4,365
18372488,Mis,28636114,Miriam Bis,Cascais,Alcabideche,38.712311095187964,-9.415762252311817,Private room,45,5,0,,,1,365
18372709,Casa Amoreiras,15462808,Luís,Lisboa,Campo de Ourique,38.7220844558814,-9.162680229232297,Entire home/apt,68,2,33,2018-08-28,2.44,4,1
18374111,Cascais City Loft,127236536,José,Cascais,Cascais e Estoril,38.699330427040366,-9.421146331326169,Entire home/apt,117,2,26,2018-09-13,1.55,1,347
18379828,Alfama Hideout Overlooking Tejo (with Terrace!),76223539,BnBird Homes,Lisboa,Santa Maria Maior,38.7124601994622,-9.12618623274499,Entire home/apt,120,3,59,2018-09-06,3.55,39,186
18380791,Enjoy Lisbon and Surf - 15 mns by train,30926548,Sofia E Maria,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.69201151521554,-9.302611536929536,Entire home/apt,30,4,9,2018-08-06,0.65,2,229
18381125,Rato Modern Flat with Garden,3953109,Feels Like Home,Lisboa,Santo Antnio,38.719207900503264,-9.150227659414192,Entire home/apt,98,2,36,2018-08-20,2.22,270,300
18381413,"OM São Lázaro Apartment, Lisboa",50396857,Pedro,Lisboa,Arroios,38.71844918287335,-9.136795177960208,Entire home/apt,50,2,87,2018-08-27,5.26,1,289
18382621,Cosy Apartment in the heart of Bairro Alto,83774690,Mafalda & Rodrigo,Lisboa,Misericrdia,38.71239212778553,-9.144646450298817,Entire home/apt,65,2,79,2018-09-12,4.69,11,278
18383734,Ericeira Private Villa | Swimming Pool Edition,126251885,Celia,Mafra,Santo Isidoro,39.001694470104106,-9.350965261485964,Entire home/apt,100,4,8,2018-08-29,0.56,1,19
18384290,Romantische Mühle mit Blick auf den Atlantik,126902838,Carlos & Maren,Mafra,Carvoeira,38.932393238490405,-9.404441411683072,Entire home/apt,75,2,4,2018-08-24,0.31,1,342
18386855,Sweet Home 1,31107450,Zorilda,Lisboa,Arroios,38.72213227120844,-9.134524669792379,Private room,20,1,12,2017-11-27,0.75,8,0
18387535,Lovely flat at Mouraria´s Heart,127359340,Ana,Lisboa,Santa Maria Maior,38.71353871326855,-9.134820272352997,Entire home/apt,70,2,10,2018-08-18,0.62,1,163
18387818,Chique and spacious flat in Cascais,83774690,Mafalda & Rodrigo,Cascais,Cascais e Estoril,38.703892652737274,-9.423156529485626,Entire home/apt,100,2,41,2018-08-30,2.44,11,300
18387861,MAGIC QUIVER SURF LODGE No.13,10692672,Magic Quiver,Mafra,Ericeira,38.96340401364436,-9.416311353793466,Private room,64,1,3,2018-07-18,0.55,8,283
18388310,"Fantástica vista para o mar, a 350m da praia!",127314813,Ana,Mafra,Ericeira,38.970954638165146,-9.417544354482043,Entire home/apt,85,2,1,2018-08-02,0.65,17,350
18391122,José Saramago Room - Stars Rooms Mouraria,126461598,Zorro E Calabrezzi,Lisboa,Santa Maria Maior,38.71531621533245,-9.133621024802645,Private room,15,1,17,2017-11-13,1.09,16,0
18391661,*Charming Apt.T2 with terrace at Chateau-Alfama E,2798435,Sandra,Lisboa,Santa Maria Maior,38.712326608062384,-9.125433373633248,Entire home/apt,69,2,32,2018-08-26,1.91,4,345
18392307,Vasco da Gama Room - Stars Rooms Mouraria,126461598,Zorro E Calabrezzi,Lisboa,Santa Maria Maior,38.716704546241964,-9.133302896734962,Private room,15,1,24,2017-10-05,1.42,16,0
18392843,Marisa Room withCloset - Stars Rooms Mouraria,126461598,Zorro E Calabrezzi,Lisboa,Santa Maria Maior,38.71674648800954,-9.133626302173216,Private room,19,1,22,2018-04-13,1.32,16,239
18393866,Family Lisbon city apartment,4374772,Matthew,Lisboa,Avenidas Novas,38.7426602889203,-9.15605597760105,Entire home/apt,100,4,0,,,1,0
18394769,Look2Lisbon - Mouraria by the castle,127419282,Alexandra,Lisboa,Santa Maria Maior,38.71717180171272,-9.134051861133335,Entire home/apt,65,3,72,2018-09-13,4.35,1,4
18399667,Casa Por do Sol,46458872,Ellie,Lourinh,Lourinh e Atalaia,39.251684132853065,-9.333423301564835,Entire home/apt,80,3,2,2017-07-12,0.13,1,351
18400042,Sunny apartment in Lisbon,9111234,Ângela,Lisboa,Lumiar,38.7605418246481,-9.163992867505787,Entire home/apt,40,3,41,2018-08-31,2.44,1,158
18400576,THE ATLANTIC SUITE No.14 & No.15,10692672,Magic Quiver,Mafra,Ericeira,38.96207641879315,-9.418148437320648,Private room,109,1,4,2018-07-23,1.26,8,288
18401129,A cosy modern Apt in historical Lisbon,56318016,Bruno,Lisboa,Misericrdia,38.71093319547706,-9.149438997176006,Entire home/apt,60,3,74,2018-09-12,4.53,1,107
18405171,Amazing apartment in Lisbon city center,105540604,Christophe,Lisboa,Misericrdia,38.70714294095482,-9.144062386606066,Entire home/apt,168,2,39,2018-09-03,2.38,20,298
18408381,Ruben & John Cozy Apartment City Center Lisbon,42508800,João,Lisboa,Alvalade,38.7545652496368,-9.147966340946054,Entire home/apt,40,3,11,2018-05-31,0.69,1,0
18408613,MAGIC QUIVER SURF LODGENo.11,10692672,Magic Quiver,Mafra,Ericeira,38.963563518161244,-9.417669354588622,Private room,56,1,11,2018-08-25,0.75,8,286
18409695,Comfortable Room With Sunny Balcony and View,123366549,Miguel,Lisboa,Lumiar,38.77195511543206,-9.16304384863997,Entire home/apt,13,2,1,2017-05-01,0.06,1,0
18410563,Room for two in Lisbon,116544071,Joana,Lisboa,Benfica,38.7523684502713,-9.205954249571132,Private room,21,30,11,2017-08-23,0.76,1,316
18410871,"LISBOA,MARTIM MONIZ 80- Fte",24627664,José & Sofia,Lisboa,Santa Maria Maior,38.7140539869917,-9.134591303943049,Entire home/apt,50,2,18,2018-08-20,1.13,12,351
18411293,Lisbon Graffiti Guesthouse. 4 rooms,103451533,Arianna,Lisboa,Penha de Frana,38.73578247751688,-9.129962183980863,Private room,24,2,9,2017-11-29,0.54,5,9
18411728,Beach and Sea House,15809069,Teresa,Sintra,Colares,38.788799643981704,-9.460478984379048,Entire home/apt,300,4,2,2018-08-23,1.62,10,363
18412203,Downtown Sea View House,57690111,Lucy,Cascais,Cascais e Estoril,38.70494539656175,-9.416660758983742,Entire home/apt,200,1,12,2018-08-08,0.82,7,84
18412262,Casa da Luisa Guesthouse - Sintra Suite,124978,Luisa,Cascais,Cascais e Estoril,38.69826859676037,-9.445202169417145,Private room,90,2,18,2018-09-13,1.10,1,345
18413010,Enjoy Lisboa in a nice twin room,59935333,Casa Lisboa,Lisboa,Arroios,38.72207955188392,-9.134846540496689,Private room,35,1,30,2018-09-08,1.81,5,212
18413890,Figueira´s square confortable apartment,27998030,Kleber & Glaucia Vieira,Lisboa,Santa Maria Maior,38.71164393246273,-9.137487702020575,Entire home/apt,74,1,64,2018-08-29,3.82,18,356
18416209,Jazzy days in Lisbon - right in the centre!,621110,Michelle,Lisboa,Santo Antnio,38.71596708297335,-9.145453593457672,Entire home/apt,45,1,44,2018-08-29,2.69,1,137
18418851,Oeiras Beach I,84490548,António,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.69623495109295,-9.291821067925206,Private room,20,2,0,,,3,280
18418937,Downtown Pier III Apartment |RentExperience,1756107,Ema,Lisboa,Misericrdia,38.70843101629071,-9.14457011297441,Entire home/apt,112,2,12,2018-07-18,0.73,129,310
18421578,"Sunny villa, 3 bedrooms,  with 2 terraces",81635923,João,Lourinh,Lourinh e Atalaia,39.27793667685879,-9.306214744063084,Entire home/apt,75,4,2,2018-08-10,0.15,1,0
18422071,Lovely & Central in Bairro Alto,37758551,Sweet Inn,Lisboa,Misericrdia,38.71226256185289,-9.144299173973039,Entire home/apt,89,2,8,2018-07-16,0.51,68,332
18422461,STYLISH & LUXURY with AMAZING VIEWS @ Baixa Lisboa,20125666,Fabio,Lisboa,Santa Maria Maior,38.7132024756998,-9.137061502477964,Entire home/apt,99,3,47,2018-08-30,2.88,7,327
18425205,OnJ S. Lázaro 2 Bedroom Only Apartment.,107564567,Catarina,Lisboa,Santa Maria Maior,38.7185993193969,-9.135866920039994,Private room,215,2,1,2018-01-02,0.12,4,360
18426118,Liberty Apartment |RentExperience,1756107,Ema,Lisboa,Santo Antnio,38.720886547360614,-9.144433725826874,Entire home/apt,69,2,2,2018-07-05,0.15,129,3
